Treat,ID,Date,Eggs in cup,Lost Eggs,Total eggs,Notes,Indi,Potent,Day
W,1,16-Jul,45,1,46,,W01,179,1
W,1,17-Jul,26,1,27,,W01,179,2
W,1,18-Jul,4,0,4,,W01,179,3
W,1,19-Jul,2,0,2,,W01,179,4
W,2,26-Jul,14,0,14,,W02,139,1
W,3,26-Jul,9,0,9,,W03,123,1
W,2,27-Jul,17,0,17,,W02,139,2
W,3,27-Jul,8,0,8,,W03,123,2
W,2,28-Jul,1,0,1,,W02,139,3
W,3,28-Jul,2,0,2,,W03,123,3
W,4,30-Jul,0,0,0,,W04,113,1
W,4,31-Jul,1,0,1,,W04,113,2
W,5,31-Jul,7,0,7,,W05,92,1
W,4,1-Aug,0,0,0,,W04,113,3
W,5,1-Aug,2,0,2,,W05,92,2
W,4,2-Aug,0,0,0,,W04,113,4
W,8,6-Aug,17,0,17,,W08,166,3
W,8,7-Aug,60,1,61,,W08,166,4
W,8,8/9/2020,18,0,18,,W08,166,5
L,1,16-Jul,64,0,64,,L01,505,1
L,1,17-Jul,37,0,37,,L01,505,2
L,1,18-Jul,36,0,36,,L01,505,3
L,1,19-Jul,30,1,31,,L01,505,4
L,1,20-Jul,40,0,40,,L01,505,5
L,1,21-Jul,22,0,22,,L01,505,6
L,1,22-Jul,17,0,17,,L01,505,7
L,1,23-Jul,48,0,48,,L01,505,8
B,1,24-Jul,10,0,10,,B01,202,1
F,1,24-Jul,11,0,11,,F01,67,1
L,1,24-Jul,16,0,16,,L01,505,9
B,1,25-Jul,36,4,40,,B01,202,2
F,1,25-Jul,21,0,21,,F01,67,2
L,1,25-Jul,37,0,37,,L01,505,10
B,1,26-Jul,9,7,16,SPONGE,B01,202,3
B,2,26-Jul,11,0,11,,B02,496,1
F,2,26-Jul,12,0,12,,F02,213,1
L,1,26-Jul,35,0,35,,L01,505,11
L,2,26-Jul,0,0,0,,L02,0,1
B,1,27-Jul,7,23,30,SPONGE,B01,202,4
B,2,27-Jul,72,0,72,,B02,496,2
F,2,27-Jul,24,1,25,SPONGE,F02,213,2
L,1,27-Jul,43,0,43,,L01,505,12
L,2,27-Jul,0,0,0,,L02,0,2
B,1,28-Jul,4,3,7,,B01,202,5
B,2,28-Jul,60,0,60,,B02,496,3
F,2,28-Jul,20,0,20,,F02,213,3
L,1,28-Jul,10,0,10,,L01,505,13
L,2,28-Jul,0,0,0,,L02,0,3
B,1,29-Jul,10,2,12,,B01,202,6
B,2,29-Jul,26,0,26,,B02,496,4
B,3,29-Jul,48,0,48,,B03,226,1
F,2,29-Jul,2,0,2,,F02,213,4
F,3,29-Jul,13,0,13,,F03,47,1
L,1,29-Jul,27,0,27,,L01,505,14
L,3,29-Jul,1,0,1,,L03,37,1
B,1,30-Jul,10,0,10,,B01,202,7
B,2,30-Jul,34,0,34,,B02,496,5
B,3,30-Jul,16,0,16,,B03,226,2
B,4,30-Jul,3,0,3,,B04,145,1
F,2,30-Jul,0,0,0,,F02,213,5
F,3,30-Jul,8,0,8,,F03,47,2
L,1,30-Jul,15,0,15,,L01,505,15
L,3,30-Jul,0,3,3,SPONGE,L03,37,2
L,4,30-Jul,0,0,0,,L04,105,1
B,1,31-Jul,7,0,7,,B01,202,8
B,2,31-Jul,8,0,8,,B02,496,6
B,3,31-Jul,9,0,9,,B03,226,3
B,4,31-Jul,4,0,4,,B04,145,2
B,5,31-Jul,24,0,24,,B05,210,1
B,6,31-Jul,0,0,0,,B06,44,1
F,3,31-Jul,5,0,5,,F03,47,3
F,4,31-Jul,11,0,11,,F04,185,1
F,5,31-Jul,0,0,0,,F05,137,1
L,3,31-Jul,2,0,2,,L03,37,3
L,4,31-Jul,0,0,0,,L04,105,2
L,5,31-Jul,2,0,2,,L05,42,1
L,6,31-Jul,36,0,36,,L06,305,4
W,6,31-Jul,0,0,0,,W06,86,1
B,1,1-Aug,5,0,5,,B01,202,9
B,2,1-Aug,27,0,27,,B02,496,7
B,3,1-Aug,26,0,26,,B03,226,4
B,4,1-Aug,5,0,5,,B04,145,3
B,5,1-Aug,26,0,26,,B05,210,2
B,6,1-Aug,0,0,0,,B06,44,2
F,3,1-Aug,1,0,1,,F03,47,4
F,4,1-Aug,3,0,3,,F04,185,2
F,5,1-Aug,10,0,10,,F05,137,2
L,3,1-Aug,0,0,0,,L03,37,4
L,4,1-Aug,0,0,0,,L04,105,3
L,5,1-Aug,24,1,25,,L05,42,2
L,6,1-Aug,22,0,22,,L06,305,5
W,6,1-Aug,0,0,0,,W06,86,2
B,1,2-Aug,3,0,3,,B01,202,10
B,2,2-Aug,43,0,43,,B02,496,8
B,3,2-Aug,20,0,20,,B03,226,5
B,4,2-Aug,1,0,1,,B04,145,4
B,5,2-Aug,23,0,23,,B05,210,3
B,6,2-Aug,0,0,0,,B06,44,3
F,3,2-Aug,10,0,10,,F03,47,5
F,4,2-Aug,10,0,10,,F04,185,3
F,5,2-Aug,6,0,6,,F05,137,3
L,3,2-Aug,1,0,1,,L03,37,5
L,4,2-Aug,0,0,0,,L04,105,4
L,5,2-Aug,3,0,3,,L05,42,3
L,6,2-Aug,22,0,22,,L06,305,6
W,6,2-Aug,0,0,0,,W06,86,3
B,1,3-Aug,7,3,10,SPONGE,B01,202,11
B,2,3-Aug,44,0,44,,B02,496,9
B,3,3-Aug,11,0,11,,B03,226,6
B,4,3-Aug,12,0,12,,B04,145,5
B,5,3-Aug,29,2,31,SPONGE,B05,210,4
B,6,3-Aug,0,0,0,,B06,44,4
F,3,3-Aug,0,0,0,,F03,47,6
F,4,3-Aug,12,0,12,,F04,185,4
F,5,3-Aug,2,0,2,,F05,137,4
L,3,3-Aug,0,0,0,,L03,37,6
L,4,3-Aug,0,0,0,,L04,105,5
L,6,3-Aug,16,0,16,,L06,305,7
B,1,4-Aug,5,0,5,,B01,202,12
B,2,4-Aug,30,0,30,,B02,496,10
B,3,4-Aug,7,0,7,,B03,226,7
B,4,4-Aug,3,0,3,,B04,145,6
B,5,4-Aug,17,0,17,,B05,210,5
B,6,4-Aug,4,0,4,,B06,44,5
B,7,4-Aug,3,0,3,,B07,151,1
F,4,4-Aug,25,0,25,,F04,185,5
F,5,4-Aug,15,0,15,,F05,137,5
F,6,4-Aug,35,0,35,,F06,264,1
F,7,4-Aug,6,0,6,,F07,199,1
L,4,4-Aug,7,0,7,,L04,105,6
L,6,4-Aug,44,0,44,,L06,305,8
L,7,4-Aug,3,0,3,,L07,71,1
L,8,4-Aug,0,0,0,,L08,38,1
W,8,4-Aug,0,0,0,,W08,166,1
B,1,5-Aug,4,0,4,,B01,202,13
B,2,5-Aug,23,0,23,,B02,496,11
B,4,5-Aug,13,2,15,SPONGE,B04,145,7
B,5,5-Aug,8,8,16,SPONGE,B05,210,6
B,6,5-Aug,1,0,1,,B06,44,6
B,7,5-Aug,1,0,1,,B07,151,2
B,8,5-Aug,36,0,36,,B08,141,1
F,4,5-Aug,15,0,15,,F04,185,6
F,5,5-Aug,28,0,28,,F05,137,6
F,6,5-Aug,37,0,37,,F06,264,2
F,7,5-Aug,0,0,0,,F07,199,2
F,8,5-Aug,2,0,2,,F08,40,1
L,4,5-Aug,3,0,3,,L04,105,7
L,6,5-Aug,13,8,21,SPONGE,L06,305,9
L,7,5-Aug,18,0,18,,L07,71,2
L,8,5-Aug,0,0,0,,L08,38,2
L,9,5-Aug,5,0,5,,L09,71,1
W,7,5-Aug,0,0,0,,W07,73,1
W,8,5-Aug,30,0,30,,W08,166,2
B,1,6-Aug,7,0,7,,B01,202,14
B,2,6-Aug,11,0,11,,B02,496,12
B,4,6-Aug,15,1,16,SPONGE,B04,145,8
B,5,6-Aug,9,0,9,,B05,210,7
B,6,6-Aug,21,0,21,,B06,44,7
B,7,6-Aug,19,0,19,,B07,151,3
B,8,6-Aug,8,0,8,,B08,141,2
F,4,6-Aug,13,0,13,,F04,185,7
F,5,6-Aug,7,1,8,POP,F05,137,7
F,6,6-Aug,21,0,21,,F06,264,3
F,7,6-Aug,14,0,14,,F07,199,3
F,8,6-Aug,0,0,0,,F08,40,2
L,4,6-Aug,1,0,1,,L04,105,8
L,6,6-Aug,9,0,9,,L06,305,10
L,7,6-Aug,1,0,1,,L07,71,3
