Treat,ID,Indi,Death Date,Dissect Date,Mature Eggs,Undev. Eggs,Degraded Eggs,Notes,Total Fecundity,Potential Fecundity,Lost Fecundity
W,1,W01,19-Jul,20-Jul,43,57,10,popped,79,179,100
W,2,W02,28-Jul,29-Jul,92,15,5,popped,32,139,107
W,3,W03,28-Jul,29-Jul,76,28,10,2 popped 8 degraded,19,123,104
W,4,W04,3-Aug,3-Aug,90,22,10,undev goopy,1,113,112
W,5,W05,2-Aug,2-Aug,57,26,0,,9,92,83
W,6,W06,3-Aug,3-Aug,59,27,20,most of the undev goopy,0,86,86
W,7,W07,6-Aug,6-Aug,71,2,1,popped,0,73,73
W,8,W08,9-Aug,9-Aug,23,17,20,most close to dissolving,126,166,40
L,1,L01,31-Jul,1-Aug,16,11,2,popped,478,505,27
L,2,L02,DROP,DROP,NA,NA,NA,,NA,NA,NA
L,3,L03,3-Aug,3-Aug,28,2,0,"cyst on back in fatty tissue, very small",7,37,30
L,4,L04,13-Aug,13-Aug,37,0,3,white and popped,68,105,37
L,5,L05,3-Aug,3-Aug,10,2,1,popped,30,42,12
L,6,L06,20-Aug,21-Aug,8,0,0,,297,305,8
L,7,L07,21-Aug,21-Aug,2,4,4,undev degraded,65,71,6
L,8,L08,9-Aug,9-Aug,30,5,35,"DROP, all eggs dgeraded",3,38,35
L,9,L09,21-Aug,21-Aug,3,3,6,,65,71,6
L,10,L10,21-Aug,21-Aug,23,4,9,whitish,80,107,27
F,1,F01,26-Jul,27-Jul,22,13,20,cyst like fibers throughout popped most mature eggs,32,67,35
F,2,F02,31-Jul,1-Aug,110,44,5,popped egg,59,213,154
F,3,F03,4-Aug,5-Aug,3,7,10,,37,47,10
F,4,F04,21-Aug,21-Aug,59,14,79,most eggs mushy and bluish,112,185,73
F,5,F05,15-Aug,15-Aug,21,0,20,most eggs fragile and goopy,116,137,21
F,6,F06,29-Aug,29-Aug,3,2,0,,259,264,5
F,7,F07,15-Aug,15-Aug,33,8,10,white eggs,158,199,41
F,8,F08,15-Aug,15-Aug,5,5,0,,30,40,10
B,1,B01,19-Aug,21-Aug,5,1,0,,196,202,6
B,2,B02,15-Aug,15-Aug,18,10,5,,468,496,28
B,3,B03,5-Aug,5-Aug,79,10,5,"popped, hard fatty deposit along back, cyst like but not holding eggs so tight",137,226,89
B,4,B04,26-Aug,26-Aug,60,4,3,"popped, clogged ovipositor",81,145,64
B,5,B05,20-Aug,21-Aug,4,1,0,,205,210,5
B,6,B06,8-Aug,8-Aug,6,0,0,"something stuck in ovipositor,, possibly deformed egg",38,44,6
B,7,B07,30-Aug,30-Aug,3,1,4,,147,151,4
B,8,B08,21-Aug,21-Aug,2,1,0,,138,141,3
