Treat,Indi,Date,Wt,wtChng,j.date,Day
B,B01,23-Jul,3.793,NA,205,1
B,B01,28-Jul,3.011,-0.782,210,6
B,B01,31-Jul,2.932,-0.079,213,9
B,B01,3-Aug,2.592,-0.34,216,12
B,B01,6-Aug,2.219,-0.373,219,15
B,B01,9-Aug,1.916,-0.303,222,18
B,B01,12-Aug,3.367,1.451,225,21
B,B01,15-Aug,2.605,-0.762,228,24
B,B01,18-Aug,2.912,0.307,231,27
B,B01,19-Aug,2.308,-0.604,232,28
B,B02,25-Jul,5.142,NA,207,1
B,B02,28-Jul,4.41,-0.732,210,4
B,B02,31-Jul,3.601,-0.809,213,7
B,B02,3-Aug,3.601,0,216,10
B,B02,6-Aug,3.241,-0.36,219,13
B,B02,9-Aug,2.741,-0.5,222,16
B,B02,12-Aug,2.724,-0.017,225,19
B,B02,15-Aug,1.564,-1.16,228,22
B,B03,28-Jul,4.43,NA,210,1
B,B03,31-Jul,4.153,-0.277,213,4
B,B03,3-Aug,3.993,-0.16,216,7
B,B03,5-Aug,3.22,-0.773,218,9
B,B04,29-Jul,4.349,1.129,211,1
B,B04,1-Aug,4.28,-0.069,214,4
B,B04,4-Aug,4.791,0.511,217,7
B,B04,7-Aug,4.34,-0.451,220,10
B,B04,10-Aug,5.062,0.722,223,13
B,B04,13-Aug,4.387,NA,226,16
B,B04,16-Aug,5.006,0.619,229,19
B,B04,19-Aug,3.894,-1.112,232,22
B,B04,22-Aug,4.825,0.931,235,25
B,B04,25-Aug,5.018,0.193,238,28
B,B04,26-Aug,4.503,-0.515,239,29
B,B05,30-Jul,3.735,NA,212,1
B,B05,2-Aug,3.281,-0.454,215,4
B,B05,5-Aug,2.848,-0.433,218,7
B,B05,8-Aug,1.857,-0.991,221,10
B,B05,11-Aug,2.235,0.378,224,13
B,B05,14-Aug,2.489,0.254,227,16
B,B05,17-Aug,1.872,-0.617,230,19
B,B05,20-Aug,2.543,0.671,233,22
B,B06,30-Jul,2.751,NA,212,1
B,B06,2-Aug,2.493,-0.258,215,4
B,B06,5-Aug,2.351,-0.142,218,7
B,B06,8-Aug,2.045,-0.306,221,10
B,B07,3-Aug,2.88,NA,216,1
B,B07,6-Aug,2.553,-0.327,219,4
B,B07,9-Aug,2.25,-0.303,222,7
B,B07,12-Aug,1.694,-0.556,225,10
B,B07,15-Aug,1.74,0.046,228,13
B,B07,18-Aug,2.107,0.367,231,16
B,B07,21-Aug,2.049,-0.058,234,19
B,B07,24-Aug,2.461,0.412,237,22
