Treat,Indi,Date,DOY,Eggs,Wt,Wt.Loss,eWt,Egg/Wt Loss,Egg/eWt,Day
A,A1,29-May,149,0,8.088,0,8.088,NA,0,1
A,A1,30-May,150,10,NA,0.052,8.036,191.3875598,1.244438914,2
A,A1,31-May,151,31,NA,0.052,7.984,593.3014354,3.883008705,3
A,A1,1-Jun,152,50,NA,0.052,7.931,956.937799,6.304176517,4
A,A1,2-Jun,153,61,7.879,0.052,7.879,1167.464115,7.742099251,5
A,A1,3-Jun,154,44,NA,0.542,7.337,81.18081181,5.997001499,6
A,A1,4-Jun,155,61,NA,0.542,6.795,112.5461255,8.97718911,7
A,A1,5-Jun,156,0,6.253,0.542,6.253,0,0,8
A,A12,9-Jun,160,0,5.844,0,5.844,NA,0,1
A,A12,10-Jun,161,1,NA,0.456,5.388,2.19138057,0.185609107,2
A,A12,11-Jun,162,0,NA,0.456,4.931,0,0,3
A,A12,12-Jun,163,95,4.475,0.456,4.475,208.1811541,21.22905028,4
A,A12,13-Jun,164,3,NA,0.071,4.404,42.25352113,0.68119891,5
A,A12,14-Jun,165,10,NA,0.071,4.333,140.8450704,2.307869836,6
A,A12,15-Jun,166,0,4.262,0.071,4.262,0,0,7
A,A3,31-May,151,0,5.582,0,5.582,NA,0,1
A,A3,1-Jun,152,35,NA,0.046,5.536,765.0273224,6.321968842,2
A,A3,2-Jun,153,10,NA,0.046,5.491,218.579235,1.821327748,3
A,A3,3-Jun,154,1,NA,0.046,5.445,21.8579235,0.183663162,4
A,A3,4-Jun,155,19,NA,0.046,5.399,415.3005464,3.519170217,5
A,A3,5-Jun,156,0,5.399,0,5.399,NA,0,6
A,A6,2-Jun,153,0,6.169,0,6.169,NA,0,1
A,A6,3-Jun,154,45,NA,0.566,5.603,79.458505,8.031889576,2
A,A6,4-Jun,155,2,NA,0.566,5.036,3.531489111,0.397114303,3
A,A6,5-Jun,156,0,4.47,0.566,4.47,0,0,4
A,A6,6-Jun,157,0,NA,0.056,4.414,0,0,5
A,A6,7-Jun,158,0,NA,0.056,4.358,0,0,6
A,A6,8-Jun,159,1,4.302,0.056,4.302,17.85714286,0.232450023,7
A,A6,9-Jun,160,0,NA,-0.239,4.541,0,0,8
A,A6,10-Jun,161,1,NA,-0.239,4.78,-4.184100418,0.209205021,9
A,A6,11-Jun,162,3,5.019,-0.239,5.019,-12.55230126,0.597728631,10
A,A6,12-Jun,163,19,NA,0.33,4.689,57.57575758,4.052036682,11
A,A6,13-Jun,164,3,NA,0.33,4.359,9.090909091,0.688231246,12
A,A6,14-Jun,165,0,4.028,0.33,4.029,0,0,13
A,A6,15-Jun,166,49,NA,-0.709,4.738,-69.11142454,10.34191642,14
A,A6,16-Jun,167,40,5.446,-0.709,5.447,-56.41748942,7.34349183,15
A,A7,2-Jun,153,0,4.252,0,4.252,NA,0,1
A,A7,3-Jun,154,40,NA,0.139,4.113,287.7697842,9.725261366,2
A,A7,4-Jun,155,36,NA,0.139,3.974,258.9928058,9.058882738,3
A,A7,5-Jun,156,9,3.835,0.139,3.835,64.74820144,2.346805737,4
A,A7,6-Jun,157,30,NA,-0.113,3.948,-264.7058824,7.598142676,5
A,A7,7-Jun,158,6,NA,-0.113,4.062,-52.94117647,1.477226098,6
A,A7,8-Jun,159,28,4.175,-0.113,4.175,-247.0588235,6.706586826,7
A,A7,9-Jun,160,0,NA,-0.856,5.031,0,0,8
